ID,Duration (in seconds),Sex,Age,AcademicDegree,PracticeTrial_1_1,PracticeTrial_1_2,PracticeTrial_1_3,PracticeTrial_2_1,PracticeTrial_2_2,PracticeTrial_2_3,PracticeTrial_3_1,PracticeTrial_3_2,PracticeTrial_3_3,A_control_1_1,A_control_1_2,A_control_1_3,A_control_2_1,A_control_2_2,A_control_2_3,A_control_3_1,A_control_3_2,A_control_3_3,A_control_4_1,A_control_4_2,A_control_4_3,A_outline_1_1,A_outline_1_2,A_outline_1_3,A_outline_2_1,A_outline_2_2,A_outline_2_3,A_outline_3_1,A_outline_3_2,A_outline_3_3,A_structured_1_1,A_structured_1_2,A_structured_1_3,A_structured_2_1,A_structured_2_2,A_structured_2_3,A_structured_3_1,A_structured_3_2,A_structured_3_3,B_control_5_1,B_control_5_2,B_control_5_3,B_control_6_1,B_control_6_2,B_control_6_3,B_control_7_1,B_control_7_2,B_control_7_3,B_control_8_1,B_control_8_2,B_control_8_3,B_outline_4_1,B_outline_4_2,B_outline_4_3,B_outline_5_1,B_outline_5_2,B_outline_5_3,B_outline_6_1,B_outline_6_2,B_outline_6_3,B_structured_4_1,B_structured_4_2,B_structured_4_3,B_structured_5_1,B_structured_5_2,B_structured_5_3,B_structured_6_1,B_structured_6_2,B_structured_6_3,C_control_9_1,C_control_9_2,C_control_9_3,C_control_10_1,C_control_10_2,C_control_10_3,C_control_11_1,C_control_11_2,C_control_11_3,C_outline_7_1,C_outline_7_2,C_outline_7_3,C_outline_8_1,C_outline_8_2,C_outline_8_3,C_outline_9_1,C_outline_9_2,C_outline_9_3,C_structured_7_1,C_structured_7_2,C_structured_7_3,C_structured_8_1,C_structured_8_2,C_structured_8_3,C_structured_9_1,C_structured_9_2,C_structured_9_3,C_structured_10_1,C_structured_10_2,C_structured_10_3,D_control_12_1,D_control_12_2,D_control_12_3,D_control_13_1,D_control_13_2,D_control_13_3,D_control_14_1,D_control_14_2,D_control_14_3,D_outline_10_1,D_outline_10_2,D_outline_10_3,D_outline_11_1,D_outline_11_2,D_outline_11_3,D_outline_12_1,D_outline_12_2,D_outline_12_3,D_structured_11_1,D_structured_11_2,D_structured_11_3,D_structured_12_1,D_structured_12_2,D_structured_12_3,D_structured_14_1,D_structured_14_2,D_structured_14_3,E_control_15_1,E_control_15_2,E_control_15_3,E_control_16_1,E_control_16_2,E_control_16_3,E_control_17_1,E_control_17_2,E_control_17_3,E_outline_13_1,E_outline_13_2,E_outline_13_3,E_outline_14_1,E_outline_14_2,E_outline_14_3,E_outline_15_1,E_outline_15_2,E_outline_15_3,E_structured_15_1,E_structured_15_2,E_structured_15_3,E_structured_16_1,E_structured_16_2,E_structured_16_3,E_structured_17_1,E_structured_17_2,E_structured_17_3,E_structured_18_1,E_structured_18_2,E_structured_18_3,F_control_18_1,F_control_18_2,F_control_18_3,F_control_19_1,F_control_19_2,F_control_19_3,F_control_20_1,F_control_20_2,F_control_20_3,F_outline_16_1,F_outline_16_2,F_outline_16_3,F_outline_17_1,F_outline_17_2,F_outline_17_3,F_outline_18_1,F_outline_18_2,F_outline_18_3,F_structured_19_1,F_structured_19_2,F_structured_19_3,F_structured_20_1,F_structured_20_2,F_structured_20_3,F_structured_21_1,F_structured_21_2,F_structured_21_3,F_structured_22_1,F_structured_22_2,F_structured_22_3,Group
46,1109,1,51,4,2,2,2,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,5,5,5,5,5,5,5,4,3,5,3,4,4,4,3,3,5,3,5,5,5,5,3,3,3,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C
47,1129,1,49,2,1,2,1,1,1,2,2,2,2,7,6,5,2,4,5,3,5,3,7,7,5,3,2,7,5,7,2,6,7,5,2,3,3,1,1,2,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A
48,1216,1,33,4,2,2,1,2,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,3,1,6,1,1,2,1,6,1,5,6,5,6,2,7,1,2,5,1,1,5,2,1,6,2,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B
49,1309,1,56,4,2,2,2,2,1,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,6,4,3,5,2,4,5,6,7,6,5,6,6,4,3,4,6,5,7,3,5,5,3,2,6,6,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E
50,319,2,26,4,1,2,1,1,1,1,2,2,2,5,4,6,3,3,3,2,1,1,3,2,5,3,2,3,3,5,6,1,1,2,5,3,5,3,2,5,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A
51,1385,1,44,4,1,2,2,2,1,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,4,2,7,1,1,6,5,3,6,5,3,5,7,3,7,6,7,7,5,3,3,3,1,7,3,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B
52,476,1,27,4,2,2,2,2,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,5,4,4,3,6,6,6,5,5,5,4,4,5,5,5,6,4,4,4,5,4,6,5,5,6,6,6,6,F
53,708,2,40,4,1,2,2,2,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,4,3,5,6,5,6,4,4,3,3,3,3,5,5,3,5,5,3,5,5,5,6,5,5,6,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C
54,1089,1,53,4,1,2,1,1,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,4,4,4,6,1,1,3,5,4,6,3,3,4,4,3,6,4,4,3,3,5,2,2,2,3,5,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B
55,718,1,23,2,2,2,1,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,6,5,5,6,2,3,5,6,5,2,3,2,2,5,4,5,5,4,6,3,5,3,4,2,6,6,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B
56,396,1,51,4,1,2,1,2,1,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,5,3,3,5,3,6,5,4,3,5,3,5,3,3,3,5,4,2,6,3,3,5,2,3,5,4,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E
57,1487,1,54,4,1,2,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,2,3,3,5,5,3,5,3,4,3,3,3,4,4,4,5,5,3,5,3,5,4,2,5,5,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E
58,1304,2,36,2,1,2,1,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,5,4,3,5,5,6,5,5,4,5,3,5,5,4,5,6,4,2,5,5,3,5,4,5,6,5,6,5,F
59,1437,2,44,3,2,2,2,1,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,6,6,5,5,5,6,5,2,3,2,4,3,3,5,3,5,3,4,3,6,5,5,5,6,3,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C
60,693,1,34,4,2,2,1,2,1,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,6,6,5,4,5,6,6,5,3,6,5,4,5,5,3,6,5,5,2,3,5,4,2,4,2,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C
61,863,2,37,4,2,2,2,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,6,5,6,5,3,5,5,5,2,2,3,5,4,5,4,2,2,4,2,2,5,5,4,5,3,5,4,F
62,1672,1,47,5,1,2,2,2,1,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,2,3,5,5,4,5,3,3,5,5,3,5,6,4,5,2,2,2,6,5,5,2,3,2,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C
63,1819,1,53,2,1,2,1,2,1,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,5,4,5,6,4,3,5,5,3,6,5,5,6,4,3,5,5,3,6,6,4,5,4,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D
64,1536,2,50,3,1,2,1,1,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,5,1,4,1,5,3,5,5,2,5,5,4,4,2,2,4,2,2,2,1,4,1,5,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D
65,1936,1,50,4,1,2,2,2,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,4,2,3,5,7,6,5,2,3,5,3,2,4,3,6,5,1,2,4,2,3,6,5,3,2,6,7,3,F
66,605,1,26,4,2,2,2,2,1,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,3,6,6,3,5,4,6,5,5,6,5,5,4,5,4,5,4,4,5,6,6,6,5,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D
67,644,2,37,3,1,2,1,2,1,2,2,2,1,6,6,5,3,3,4,5,3,5,5,4,5,5,3,5,3,5,3,3,5,3,6,5,6,3,3,5,5,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A
68,1910,1,38,4,1,2,2,2,1,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,7,5,3,7,1,2,6,2,3,3,5,3,6,6,3,7,6,7,7,4,6,3,1,1,6,5,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B
69,1210,2,37,2,1,2,2,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,3,6,7,3,6,5,6,7,4,7,5,2,2,2,4,2,5,3,6,6,4,6,5,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D
70,1780,2,52,2,2,2,1,2,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,7,6,3,7,1,1,7,5,3,6,4,7,1,7,1,4,6,4,7,1,3,3,6,2,7,4,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B
71,2185,1,50,2,1,2,2,2,1,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,5,5,6,4,5,5,6,5,5,5,2,2,5,1,1,4,2,5,2,2,2,1,3,3,3,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C
72,395,1,25,4,2,2,2,2,1,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,3,5,5,5,6,6,6,5,5,5,5,5,5,6,5,6,5,4,3,5,5,5,5,4,6,5,5,6,F
73,2273,1,54,4,2,2,1,2,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,3,2,2,3,5,3,5,5,5,6,5,5,6,2,2,2,7,6,7,5,4,4,3,2,3,5,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E
74,2603,1,48,4,1,2,1,2,1,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,5,4,3,6,2,2,5,3,5,3,2,3,3,4,3,5,3,4,5,3,5,5,4,2,3,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B
75,2899,1,45,2,1,2,1,1,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,5,3,2,4,2,2,2,2,3,2,6,4,7,6,5,6,4,3,5,2,3,3,1,2,4,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E
76,205,2,36,4,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,3,2,2,4,5,5,5,3,3,4,2,2,4,3,5,3,3,4,2,2,3,4,5,4,5,5,4,5,F
77,579,1,49,4,1,2,1,1,1,2,2,2,2,3,5,5,5,6,4,4,2,4,6,6,6,5,4,6,7,4,6,3,4,6,3,3,5,4,6,5,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A
78,586,1,34,4,2,2,1,1,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,5,5,2,5,5,6,5,5,3,5,5,6,5,2,3,5,3,5,5,5,5,6,3,6,4,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C
79,561,1,37,3,2,2,2,1,1,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,2,3,2,5,6,5,6,5,3,5,5,3,5,3,3,5,5,2,5,2,2,1,3,1,2,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E
80,593,2,44,4,1,2,1,2,1,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,5,3,6,1,1,5,6,6,6,2,3,3,7,7,7,3,6,5,5,5,1,6,6,7,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B
81,589,1,40,4,1,2,1,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,2,3,3,4,6,5,4,6,4,6,6,5,5,2,3,3,7,4,7,5,5,1,2,2,4,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E
82,685,2,55,2,1,2,2,2,1,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,5,5,6,5,5,5,6,6,4,6,4,5,5,4,4,5,6,4,6,6,5,5,5,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D
83,798,1,44,4,1,2,1,2,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,5,6,5,6,2,1,5,6,5,6,3,5,3,5,5,6,3,7,5,3,5,2,2,1,5,5,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B
84,740,1,43,4,1,2,1,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,5,6,3,6,5,2,5,5,5,2,6,3,5,6,6,5,1,2,2,5,2,5,5,2,6,5,6,3,F
85,622,1,39,4,1,2,2,1,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,5,3,3,4,6,3,5,3,5,2,3,3,3,3,4,5,2,2,5,3,3,4,2,3,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C
86,877,1,35,4,1,1,2,2,2,1,2,2,1,5,5,5,4,5,3,4,4,3,5,3,6,3,3,5,5,6,4,3,5,6,6,6,3,3,3,5,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A
87,863,2,43,4,1,2,2,2,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,5,4,3,5,5,4,5,5,6,5,5,4,6,5,5,6,3,3,5,4,5,5,4,3,5,3,5,4,F
88,817,1,37,4,1,2,2,1,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,5,5,6,3,6,7,6,6,6,7,2,2,7,6,3,5,3,6,5,5,7,7,3,6,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C
89,874,2,53,5,2,2,1,2,1,2,2,2,2,6,6,6,3,3,2,2,2,2,6,5,6,3,2,5,5,5,4,3,3,2,4,4,4,4,2,4,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A
90,689,1,41,5,2,2,2,1,1,1,2,2,2,3,4,7,1,2,6,1,1,2,5,3,7,2,2,6,2,3,7,1,5,3,2,2,5,1,1,5,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A
91,934,1,40,4,1,2,1,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,5,4,6,2,1,5,4,4,5,4,5,6,6,5,7,5,6,5,2,4,3,3,3,6,6,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B
92,1026,1,35,4,1,1,1,2,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,5,2,2,3,5,5,4,5,3,3,5,3,6,3,4,6,3,3,4,5,2,5,3,3,5,6,7,4,F
93,1035,2,45,4,2,2,1,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,3,5,3,4,3,3,3,2,3,3,3,2,3,4,3,2,2,1,6,5,5,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D
94,1027,2,43,4,1,2,1,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,5,2,5,2,6,6,7,3,2,6,3,4,2,3,3,7,1,1,4,6,6,7,5,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D
95,898,2,43,3,1,2,1,1,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,5,6,6,5,7,6,6,6,2,6,2,2,5,3,2,6,2,5,6,2,6,5,2,3,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C
96,1064,1,51,4,1,2,2,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,6,6,7,5,5,6,4,4,4,3,3,3,6,3,3,5,2,2,5,3,5,6,4,6,5,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C
97,946,1,36,4,2,2,2,1,1,2,2,2,2,5,5,6,3,5,3,5,3,6,6,6,7,2,1,6,3,5,3,2,2,4,6,7,6,3,1,5,2,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A
